# x,y,susceptibility,density
-1.678250000000000000e+06,1.743250000000000000e+06,1.777894437101398828e-02,-1.440374855459975834e+02
-1.678000000000000000e+06,1.743250000000000000e+06,1.760500789695022827e-02,-1.400186863793407781e+02
-1.677750000000000000e+06,1.743250000000000000e+06,1.747059210775007976e-02,-1.385182969607716359e+02
-1.677500000000000000e+06,1.743250000000000000e+06,1.722010808276035199e-02,-1.286931878910354214e+02
-1.677250000000000000e+06,1.743250000000000000e+06,1.860311680822997193e-02,-1.182725301411682892e+02
-1.677000000000000000e+06,1.743250000000000000e+06,1.961008852507210853e-02,-1.101090600217628435e+02
-1.676750000000000000e+06,1.743250000000000000e+06,2.089465828673731096e-02,-9.383631963693767375e+01
-1.676500000000000000e+06,1.743250000000000000e+06,2.230910487222044492e-02,-8.003563187048669647e+01
-1.676250000000000000e+06,1.743250000000000000e+06,2.297848537270970326e-02,-7.262000486997609983e+01
-1.676000000000000000e+06,1.743250000000000000e+06,2.337613511476807626e-02,-6.821367260185414239e+01
-1.675750000000000000e+06,1.743250000000000000e+06,2.429279396610795061e-02,-6.426287552403130121e+01
-1.675500000000000000e+06,1.743250000000000000e+06,2.594928328407258844e-02,-5.462347310812378964e+01
-1.675250000000000000e+06,1.743250000000000000e+06,2.674622456849426455e-02,-3.523143039527769815e+01
-1.675000000000000000e+06,1.743250000000000000e+06,2.787209549325003755e-02,-2.914315330086773770e+01
-1.674750000000000000e+06,1.743250000000000000e+06,3.068302075068291002e-02,-2.473466640816275230e+01
-1.674500000000000000e+06,1.743250000000000000e+06,3.188691575474303375e-02,-2.292935886777391374e+01
-1.674250000000000000e+06,1.743250000000000000e+06,3.251357822302630707e-02,-2.052341556726850058e+01
-1.674000000000000000e+06,1.743250000000000000e+06,3.426899525156743009e-02,-1.829764848693687895e+01
-1.673750000000000000e+06,1.743250000000000000e+06,3.460513348050284210e-02,-1.792118393579323765e+01
-1.673500000000000000e+06,1.743250000000000000e+06,3.531338853158377811e-02,-1.718389579608066242e+01
-1.673250000000000000e+06,1.743250000000000000e+06,3.702015943893716132e-02,-1.630161803615075655e+01
-1.673000000000000000e+06,1.743250000000000000e+06,3.686339687382372832e-02,-1.636954334477164252e+01
-1.672750000000000000e+06,1.743250000000000000e+06,3.734778621507445218e-02,-1.534143871846296747e+01
-1.672500000000000000e+06,1.743250000000000000e+06,3.781203902348984069e-02,-1.030476724634280572e+01
-1.672250000000000000e+06,1.743250000000000000e+06,3.811156260088108261e-02,2.792042090688715916e+01
-1.672000000000000000e+06,1.743250000000000000e+06,3.993855768292101094e-02,3.504516254449106327e+01
-1.671750000000000000e+06,1.743250000000000000e+06,4.136751482296235904e-02,3.705965741877935216e+01
-1.671500000000000000e+06,1.743250000000000000e+06,4.220645238800682653e-02,3.708069648760925929e+01
-1.671250000000000000e+06,1.743250000000000000e+06,4.263610916628235437e-02,3.692567999458469785e+01
-1.671000000000000000e+06,1.743250000000000000e+06,4.279792498148277113e-02,3.719138031737531946e+01
-1.670750000000000000e+06,1.743250000000000000e+06,4.272848828679590150e-02,3.731646635414023194e+01
-1.670500000000000000e+06,1.743250000000000000e+06,4.262807311363719931e-02,3.734935190038879682e+01
-1.670250000000000000e+06,1.743250000000000000e+06,4.269445228623341970e-02,3.734937693161134575e+01
-1.670000000000000000e+06,1.743250000000000000e+06,4.298578785814771708e-02,3.738006138928653854e+01
-1.669750000000000000e+06,1.743250000000000000e+06,4.326606815251016203e-02,3.738788468294029599e+01
-1.669500000000000000e+06,1.743250000000000000e+06,4.323608036102941088e-02,3.723887022754303189e+01
-1.669250000000000000e+06,1.743250000000000000e+06,4.276214531978472788e-02,3.674397389523920765e+01
-1.669000000000000000e+06,1.743250000000000000e+06,4.213678755776884000e-02,3.586501928518919158e+01
-1.668750000000000000e+06,1.743250000000000000e+06,4.109959164931348274e-02,3.433890331911840121e+01
-1.668500000000000000e+06,1.743250000000000000e+06,3.908705245527524519e-02,3.266858167906815424e+01
-1.668250000000000000e+06,1.743250000000000000e+06,3.517101356946000790e-02,2.985697585945825949e+01
-1.668000000000000000e+06,1.743250000000000000e+06,3.126371430125704509e-02,2.996041220303817454e+01
-1.667750000000000000e+06,1.743250000000000000e+06,2.809380813485892747e-02,3.126930454351270328e+01
-1.667500000000000000e+06,1.743250000000000000e+06,2.598839225435481404e-02,3.119334544380581065e+01
-1.667250000000000000e+06,1.743250000000000000e+06,2.363007583379905796e-02,2.820252981233687706e+01
-1.667000000000000000e+06,1.743250000000000000e+06,2.164106753665558103e-02,2.459452627720565943e+01
-1.666750000000000000e+06,1.743250000000000000e+06,2.008968171093612753e-02,2.232211602316425569e+01
-1.666500000000000000e+06,1.743250000000000000e+06,1.945692645994503978e-02,2.127774366428792518e+01
-1.666250000000000000e+06,1.743250000000000000e+06,1.942511307207135662e-02,2.174680445322195510e+01
-1.666000000000000000e+06,1.743250000000000000e+06,2.021970446564760882e-02,2.325834549515434446e+01
-1.665750000000000000e+06,1.743250000000000000e+06,2.133965148637766152e-02,2.521757591417861022e+01
-1.665500000000000000e+06,1.743250000000000000e+06,2.300773376698375672e-02,2.855666040548999263e+01
-1.665250000000000000e+06,1.743250000000000000e+06,2.378208073535079126e-02,3.239320344110706174e+01
-1.665000000000000000e+06,1.743250000000000000e+06,2.452427628808770410e-02,3.523489898265893316e+01
-1.664750000000000000e+06,1.743250000000000000e+06,2.504525614808250644e-02,3.679226820532829834e+01
-1.664500000000000000e+06,1.743250000000000000e+06,2.527629750317461621e-02,3.710694467939771357e+01
-1.664250000000000000e+06,1.743250000000000000e+06,2.512463363098646485e-02,3.609746539503453278e+01
-1.664000000000000000e+06,1.743250000000000000e+06,2.459047971933288335e-02,3.416543927473679787e+01
-1.663750000000000000e+06,1.743250000000000000e+06,2.387631990236953328e-02,3.117289337270420901e+01
-1.663500000000000000e+06,1.743250000000000000e+06,2.291636311573722051e-02,2.709377439223180772e+01
-1.663250000000000000e+06,1.743250000000000000e+06,2.116299869228951969e-02,2.379441132219312749e+01
-1.663000000000000000e+06,1.743250000000000000e+06,2.048158261036756023e-02,2.219672797081051385e+01
-1.662750000000000000e+06,1.743250000000000000e+06,2.018799085393707671e-02,2.079362279869724262e+01
-1.662500000000000000e+06,1.743250000000000000e+06,1.968930115728725894e-02,1.921779385975975174e+01
-1.662250000000000000e+06,1.743250000000000000e+06,1.910281033533259287e-02,1.737975529798836760e+01
-1.662000000000000000e+06,1.743250000000000000e+06,1.866872298214734827e-02,1.601408063871525655e+01
-1.661750000000000000e+06,1.743250000000000000e+06,1.823441970436459614e-02,1.486663630963039395e+01
-1.661500000000000000e+06,1.743250000000000000e+06,1.776868796807173911e-02,1.378840071931807643e+01
-1.661250000000000000e+06,1.743250000000000000e+06,1.731922886489956070e-02,1.360590830997114153e+01
-1.661000000000000000e+06,1.743250000000000000e+06,1.710160140843286491e-02,1.353917978721671034e+01
-1.660750000000000000e+06,1.743250000000000000e+06,1.707590707435213684e-02,1.333003690583387879e+01
-1.660500000000000000e+06,1.743250000000000000e+06,1.725443073262515614e-02,1.331763783923730671e+01
